Date received,Product,Sub-product,Issue,Sub-issue,Company,State,ZIP code,Complaint ID,Company response to consumer
2025-04-09,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",TX,75227,12900411,Closed with explanation
2023-09-08,Debt collection,I do not know,Threatened to contact someone or share information improperly,Talked to a third-party about your debt,"Amsher Collection Services, Inc.",TX,XXXXX,7521587,Closed with explanation
2025-07-10,Mortgage,FHA mortgage,Applying for a mortgage or refinancing an existing mortgage,Changes in loan terms during the application process,"Acrisure Mortgage Partners, LLC",TX,78130,14582762,Closed with explanation
2015-06-03,Debt collection,I do not know,Taking/threatening an illegal action,Threatened arrest/jail if do not pay,Green Square Company LLC.,NY,11784,1403353,Closed
2024-09-14,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Their investigation did not fix an error on your report,"The CBE Group, Inc.",CA,90250,10126836,Closed with non-monetary relief
2025-05-09,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30349,13404841,Closed with non-monetary relief
2025-07-25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,"EQUIFAX, INC.",FL,335XX,14885901,Closed with explanation
2022-04-26,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Was not notified of investigation status or results,"EQUIFAX, INC.",NY,11201,5500087,Closed with explanation
2025-01-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",MA,01830,11503032,Closed with non-monetary relief
2022-11-01,Credit card or prepaid card,General-purpose credit card or charge card,Trouble using your card,Credit card company won't increase or decrease your credit limit,"Avant Holding Company, Inc.",AL,360XX,6153166,Closed with explanation
2024-12-27,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,Experian Information Solutions Inc.,NY,11236,11284515,Closed with explanation
2021-11-29,Credit card or prepaid card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Continental Finance Company, LLC",PA,155XX,4956503,Closed with explanation
2023-09-18,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,"EQUIFAX, INC.",NC,27587,7563868,Closed with non-monetary relief
2022-08-21,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"Conn's, Inc.",NC,28216,5902266,Closed with explanation
2018-10-12,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Problem with customer service,"Navient Solutions, LLC.",SC,299XX,3044605,Closed with explanation
2025-02-19,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,FL,33010,12134240,Closed with explanation
