Date received,Product,Sub-product,Issue,Sub-issue,Company,State,ZIP code,Complaint ID,Company response to consumer
2025-05-30,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",GA,308XX,13807679,Closed with non-monetary relief
2018-07-29,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Investigation took more than 30 days,Ocwen Financial Corporation,NJ,088XX,2976070,Closed with explanation
2024-06-27,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,GA,30127,9364849,Closed with explanation
2023-12-15,Credit card,General-purpose credit card or charge card,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,60160,8008970,Closed with non-monetary relief
2025-05-18,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,IA,50701,13575459,Closed with explanation
2021-04-01,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,TX,77706,4265681,Closed with explanation
2023-12-16,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"EQUIFAX, INC.",IL,618XX,8007359,Closed with non-monetary relief
2021-12-26,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"EQUIFAX, INC.",MS,39648,5041929,Closed with explanation
2023-10-27,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,GA,30126,7768347,Closed with explanation
2022-09-12,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,Experian Information Solutions Inc.,GA,30909,5973455,Closed with non-monetary relief
2017-12-15,Vehicle loan or lease,Loan,Getting a loan or lease,Fraudulent loan,UNITED SERVICES AUTOMOBILE ASSOCIATION,GA,30039,2756182,Closed with explanation
2025-03-04,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",FL,33016,12314917,Closed with explanation
2022-05-04,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,Atlanticus Services Corporation,FL,33169,5541283,Closed with explanation
2024-06-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account status incorrect,"EQUIFAX, INC.",GA,30349,9252305,Closed with explanation
2025-04-12,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"EQUIFAX, INC.",FL,33556,12955420,Closed with non-monetary relief
2021-03-20,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Difficulty submitting a dispute or getting information about a dispute over the phone,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",CA,94534,4230078,Closed with explanation
2024-06-13,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,77469,9249331,Closed with non-monetary relief
2019-07-08,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Personal information incorrect,Experian Information Solutions Inc.,NJ,07024,3298350,Closed with explanation
2024-12-04,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,10456,11028217,Closed with non-monetary relief
2023-12-07,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,GA,30125,7962997,Closed with explanation
2024-11-04,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,KS,667XX,10681979,Closed with explanation
2024-09-22,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,Experian Information Solutions Inc.,GA,30904,10208000,Closed with explanation
2022-05-17,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Reporting company used your report improperly,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",IL,60156,5570615,Closed with non-monetary relief
2021-07-16,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"EQUIFAX, INC.",NC,27893,4548771,Closed with explanation
2020-06-10,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Was not notified of investigation status or results,"EQUIFAX, INC.",TX,77033,3693066,Closed with explanation
2021-07-12,Checking or savings account,Other banking product or service,Closing an account,Funds not received from closed account,WELLS FARGO & COMPANY,OR,97405,4536533,Closed with explanation
2023-08-04,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",TX,76543,7345047,Closed with non-monetary relief
2024-02-25,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"EQUIFAX, INC.",IL,60656,8416477,Closed with explanation
2024-04-25,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,30236,8860373,Closed with non-monetary relief
2017-10-28,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,Performant Financial Corporation,CO,808XX,2714729,Closed with non-monetary relief
2025-10-01,Debt collection,Other debt,Written notification about debt,Notification didn't disclose it was an attempt to collect a debt,Experian Information Solutions Inc.,CA,95050,16292683,Closed with explanation
2025-11-16,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",NV,89131,17286591,Closed with explanation
2020-01-25,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,Phoenix Financial Services LLC,VA,240XX,3508680,Closed with explanation
2025-09-04,Credit card,General-purpose credit card or charge card,Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,JPMORGAN CHASE & CO.,FL,329XX,15711090,Closed with monetary relief
2025-10-12,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"EQUIFAX, INC.",FL,33015,16529141,Closed with non-monetary relief
2022-12-16,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,Experian Information Solutions Inc.,MI,48197,6328261,Closed with non-monetary relief
2022-07-01,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Improper use of your report,Reporting company used your report improperly,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NC,28390,5724794,Closed with non-monetary relief
2023-12-03,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",OH,XXXXX,7941749,Closed with explanation
2024-10-07,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",,XXXXX,10368373,Closed with non-monetary relief
2025-01-23,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Investigation took more than 30 days,Experian Information Solutions Inc.,IA,503XX,11713011,Closed with explanation
2023-10-20,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,FL,33461,7727034,Closed with non-monetary relief
2020-02-26,Credit card or prepaid card,General-purpose credit card or charge card,Fees or interest,Charged too much interest,CAPITAL ONE FINANCIAL CORPORATION,GA,30040,3545236,Closed with explanation
2022-09-02,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Problem with a credit reporting company's investigation into an existing problem,Their investigation did not fix an error on your report,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NJ,088XX,5944805,Closed with non-monetary relief
2024-01-07,Debt or credit management,Credit repair services,Charged upfront or unexpected fees,,Experian Information Solutions Inc.,TX,78664,8119173,Closed with explanation
